0.2395 	0.6746
0.4431 	0.1735
0.489 	0.2299
0.1075 	0.0994
0.1656 	0.699
0.1626 	0.3573
0.1586 	0.7394
0.6662 	0.014
0.155 	0.2868
0.0289 	0.3429
0.0389 	0.0709
0.4716 	0.4308
0.7342 	0.4948
0.0757 	0.3661
0.1094 	0.2544
0.5334 	0.4268
0.3247 	0.3049
0.7406 	0.1384
0.6436 	0.2843
0.6885 	0.4654
0.6449 	0.32
0.3316 	0.194
0.6484 	0.7392
0.3113 	0.3704
0.041 	0.5456
0.0605 	0.4588
0.0191 	0.2945
0.0812 	0.3992
0.2052 	0.1526
0.2624 	0.2579
0.4242 	0.1892
0.6567 	0.0512
0.3596 	0.4553
0.1395 	0.0769
0.5106 	0.5082
0.0883 	0.3939
0.1182 	0.0561
0.3418 	0.5308
0.2811 	0.4089
0.6668 	0.2556
0.3118 	0.0201
0.3777 	0.5389
0.03 	0.4321
0.2737 	0.4557
0.167 	0.33
0.7453 	0.1095
0.4973 	0.1131
0.5025 	0.3777
0.4457 	0.6411
0.2652 	0.4529
0.6801 	0.0687
0.0477 	0.7354
0.499 	0.5628
0.0569 	0.1278
0.3208 	0.0289
0.0994 	0.5497
0.5771 	0.4127
0.3466 	0.0068
0.015 	0.2735
0.6748 	0.5669
0.4627 	0.41
0.6175 	0.1025
0.4297 	0.6938
0.3618 	0.2864
0.221 	0.011
0.1161 	0.3082
0.4672 	0.2355
0.6783 	0.2033
0.2952 	0.5367
0.5835 	0.2288
0.1239 	0.2239
0.5581 	0.5546
0.7076 	0.0116
0.0744 	0.5368
0.0514 	0.6356
0.4471 	0.3456
0.443 	0.2711
0.1939 	0.6404
0.2125 	0.1804
0.5088 	0.5882
0.5714 	0.6899
0.2967 	0.1842
0.1103 	0.1639
0.0453 	0.4735
0.1162 	0.6118
0.2494 	0.0477
0.2052 	0.0059
0.4924 	0.166
0.6029 	0.1579
0.4857 	0.2962
0.1295 	0.5142
0.2111 	0.6866
0.1558 	0.1163
0.0092 	0.6036
0.1081 	0.3814
0.2825 	0.421
0.0697 	0.0331
0.5733 	0.0015
0.0662 	0.3802
0.1769 	0.5749
0.0907 	0.2284
0.3767 	0.699
0.1909 	0.0493
0.5657 	0.1201
0.22 	0.2249
0.3026 	0.601
0.5735 	0.1843
0.2736 	0.6001
0.2371 	0.5563
0.2901 	0.5236
0.06 	0.7258
0.1588 	0.5164
0.3171 	0.5747
0.0362 	0.1307
0.5962 	0.4658
0.6642 	0.0083
0.0014 	0.4804
0.7192 	0.334
0.2539 	0.456
0.6651 	0.1955
0.0245 	0.5088
0.2387 	0.5304
0.0416 	0.3472
0.5211 	0.3889
0.0204 	0.6854
0.2373 	0.6829
0.2834 	0.3812
0.0435 	0.6766
0.5599 	0.7427
0.0067 	0.4251
0.6191 	0.2232
0.0432 	0.5606
0.3076 	0.0685
0.1531 	0.7183
0.5844 	0.3083
0.6654 	0.0585
0.2307 	0.1551
0.6245 	0.3691
0.0149 	0.0582
0.5065 	0.0039
0.0441 	0.0881
0.6074 	0.7332
0.0618 	0.6634
0.4644 	0.0937
0.3481 	0.0894
0.3958 	0.3908
0.4641 	0.7475
0.2355 	0.4445
0.667 	0.7319
0.4509 	0.5616
0.6473 	0.4153
0.0301 	0.1426
0.4809 	0.4567
0.189 	0.1393
0.2383 	0.6221
0.0374 	0.4796
0.4306 	0.6036
0.0701 	0.7295
0.3916 	0.2696
0.6137 	0.5812
0.3386 	0.0183
0.0352 	0.7332
0.6432 	0.6646
0.6635 	0.4174
0.2872 	0.7117
0.5786 	0.7142
0.6447 	0.3945
0.2734 	0.5179
0.5534 	0.4942
0.7001 	0.5385
0.1641 	0.4566
0.2051 	0.3502
0.2728 	0.73
0.37 	0.6269
0.7387 	0.121
0.6679 	0.7468
0.0559 	0.5947
0.4983 	0.3346
0.6203 	0.0179
0.0748 	0.5929
0.3858 	0.2361
0.4925 	0.1202
0.5003 	0.1536
0.3746 	0.0705
0.4936 	0.352
